-- Generated 150 lines of random data
BEGIN;
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'CAF', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Solaris', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Tátra', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Modulo', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'CAF', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Van Hool', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ganz-Solaris', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Metrovagonmas', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Metrovagonmas', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Tátra', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Ikarus', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Tátra', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Metrovagonmas', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'CAF', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ganz-Solaris', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Karsan', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Mercedes-Benz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ganz-Solaris', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Solaris', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'SIEMENS', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ganz-Solaris', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'CAF', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Ganz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Ganz', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ganz-Solaris', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Villamos', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'LEW', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Busz', 'Van Hool', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Metrovagonmas', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Alstom', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Solaris-Škoda', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Trolibusz', 'Ikarus', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Ganz', 'BKK', True);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('Metró', 'Metrovagonmas', 'BKK', False);
INSERT INTO Jármû (típus, gyártmány, üzemeltetõ, akadálymentes) VALUES ('HÉV', 'BHÉV', 'MÁV-HÉV', False);
